Short Leg Strike,Short Leg Premium,Short Leg Volume,Short Leg Open Interest,Long Leg Strike,Long Leg Premium,Margin Requirement,Net Premium,Return (%),Distance (%),Daily Distance (%),Days to Expiration,Business Days to Expiration,Expiration Date,last_trade_short,last_trade_long,IV_short,IV_long
118.0,1.07,95.0,4057.0,117.0,0.91,1.0,0.16,16.0,10.7,0.67,16,13,2025-01-31,2025-01-14 18:10:15+00:00,2025-01-14 18:09:07+00:00,0.49,0.49
118.0,1.07,95.0,4057.0,116.0,0.8,2.0,0.27,13.5,10.7,0.67,16,13,2025-01-31,2025-01-14 18:10:15+00:00,2025-01-14 18:18:21+00:00,0.49,0.5
117.0,0.91,2395.0,4313.0,116.0,0.8,1.0,0.11,11.0,11.46,0.72,16,13,2025-01-31,2025-01-14 18:09:07+00:00,2025-01-14 18:18:21+00:00,0.49,0.5
115.0,1.13,321.0,8348.0,110.0,0.64,5.0,0.49,9.8,12.97,0.56,23,18,2025-02-07,2025-01-14 18:16:27+00:00,2025-01-14 18:16:27+00:00,0.49,0.51
104.0,0.74,52.0,3077.0,103.0,0.65,1.0,0.09,9.0,21.3,0.58,37,28,2025-02-21,2025-01-14 17:04:17+00:00,2025-01-14 16:53:58+00:00,0.51,0.52
118.0,1.07,95.0,4057.0,110.0,0.39,8.0,0.68,8.5,10.7,0.67,16,13,2025-01-31,2025-01-14 18:10:15+00:00,2025-01-14 18:04:23+00:00,0.49,0.54
115.0,0.73,238.0,7556.0,113.0,0.57,2.0,0.16,8.0,12.97,0.81,16,13,2025-01-31,2025-01-14 17:44:31+00:00,2025-01-14 17:51:02+00:00,0.5,0.52
107.0,0.95,27.0,5508.0,103.0,0.65,4.0,0.3,7.5,19.03,0.51,37,28,2025-02-21,2025-01-14 16:57:29+00:00,2025-01-14 16:53:58+00:00,0.5,0.52
117.0,0.91,2395.0,4313.0,110.0,0.39,7.0,0.52,7.43,11.46,0.72,16,13,2025-01-31,2025-01-14 18:09:07+00:00,2025-01-14 18:04:23+00:00,0.49,0.54
115.0,1.13,321.0,8348.0,105.0,0.4,10.0,0.73,7.3,12.97,0.56,23,18,2025-02-07,2025-01-14 18:16:27+00:00,2025-01-14 18:14:26+00:00,0.49,0.55
115.0,0.73,238.0,7556.0,112.0,0.52,3.0,0.21,7.0,12.97,0.81,16,13,2025-01-31,2025-01-14 17:44:31+00:00,2025-01-14 17:42:02+00:00,0.5,0.53
107.0,0.95,27.0,5508.0,104.0,0.74,3.0,0.21,7.0,19.03,0.51,37,28,2025-02-21,2025-01-14 16:57:29+00:00,2025-01-14 17:04:17+00:00,0.5,0.51
116.0,0.8,245.0,3918.0,110.0,0.39,6.0,0.41,6.83,12.21,0.76,16,13,2025-01-31,2025-01-14 18:18:21+00:00,2025-01-14 18:04:23+00:00,0.5,0.54
114.0,0.66,66.0,2924.0,111.0,0.46,3.0,0.2,6.67,13.73,0.86,16,13,2025-01-31,2025-01-14 17:20:02+00:00,2025-01-14 17:08:19+00:00,0.51,0.53
107.0,0.95,27.0,5508.0,102.0,0.62,5.0,0.33,6.6,19.03,0.51,37,28,2025-02-21,2025-01-14 16:57:29+00:00,2025-01-14 16:44:21+00:00,0.5,0.52
118.0,0.41,266.0,9325.0,116.0,0.29,2.0,0.12,6.0,10.7,1.19,9,8,2025-01-24,2025-01-14 17:56:05+00:00,2025-01-14 17:58:05+00:00,0.48,0.49
117.0,0.35,21460.0,3951.0,116.0,0.29,1.0,0.06,6.0,11.46,1.27,9,8,2025-01-24,2025-01-14 18:06:56+00:00,2025-01-14 17:58:05+00:00,0.48,0.49
106.0,0.81,61.0,3622.0,105.0,0.75,1.0,0.06,6.0,19.78,0.53,37,28,2025-02-21,2025-01-14 18:03:10+00:00,2025-01-14 18:03:21+00:00,0.5,0.51
118.0,0.41,266.0,9325.0,117.0,0.35,1.0,0.06,6.0,10.7,1.19,9,8,2025-01-24,2025-01-14 17:56:05+00:00,2025-01-14 18:06:56+00:00,0.48,0.48
